emp_id,emp_name,gender,department,job_title,emp_salary
0,Employee - 0,Male,Sales,Sales Representative,110000
1,Employee - 1,Female,Marketing,Sr. Marketing Representative,80000
2,Employee - 2,Female,Sales,Principal Sales Representative,70000
3,Employee - 3,Female,Marketing,Principal Marketing Representative,90000
4,Employee - 4,Male,Marketing,Sr. Marketing Representative,50000
5,Employee - 5,Male,Marketing,Sr. Marketing Representative,80000
6,Employee - 6,Female,Marketing,Marketing Representative,50000
7,Employee - 7,Male,Marketing,Marketing Representative,120000
8,Employee - 8,Male,Marketing,Principal Marketing Representative,90000
9,Employee - 9,Female,Marketing,Sr. Marketing Representative,90000
10,Employee - 10,Female,Marketing,Marketing Representative,100000
11,Employee - 11,Male,Sales,Sr. Sales Representative,70000
12,Employee - 12,Female,Finance,Finance-2,90000
13,Employee - 13,Female,Sales,Sales Representative,100000
14,Employee - 14,Female,Marketing,Sr. Marketing Representative,110000
15,Employee - 15,Female,Marketing,Sr. Marketing Representative,100000
16,Employee - 16,Male,Sales,Sr. Sales Representative,120000
17,Employee - 17,Female,Engineering,Staff Software Engineer,110000
18,Employee - 18,Male,Engineering,Software Engineer,70000
19,Employee - 19,Male,Finance,Finance-2,50000
20,Employee - 20,Male,Sales,Sales Representative,70000
21,Employee - 21,Female,Marketing,Principal Marketing Representative,110000
22,Employee - 22,Female,Sales,Sales Representative,70000
23,Employee - 23,Male,Marketing,Sr. Marketing Representative,80000
24,Employee - 24,Female,Finance,Finance-3,70000
25,Employee - 25,Female,Marketing,Principal Marketing Representative,90000
26,Employee - 26,Male,Finance,Finance-1,100000
27,Employee - 27,Male,Sales,Sales Representative,100000
28,Employee - 28,Male,Marketing,Marketing Representative,100000
29,Employee - 29,Female,Sales,Sr. Sales Representative,50000
30,Employee - 30,Male,Sales,Sr. Sales Representative,110000
31,Employee - 31,Male,Finance,Finance-1,80000
32,Employee - 32,Female,Marketing,Sr. Marketing Representative,60000
33,Employee - 33,Male,Sales,Sales Representative,100000
34,Employee - 34,Female,Marketing,Marketing Representative,80000
35,Employee - 35,Female,Marketing,Sr. Marketing Representative,110000
36,Employee - 36,Female,Engineering,Sr. Software Engineer,60000
37,Employee - 37,Male,Finance,Finance-1,100000
